Quarter,Time,Down,ToGo,Location,Detail,NWE,ATL,EPB,EPA,Win%
1,15:00,,,ATL 35,Matthew Bosher kicks off 65 yards touchback,0,0,0,-0.61,39.4
1,15:00,1,10,NWE 25,Tom Brady pass incomplete short middle intended for Julian Edelman,0,0,0.61,0.06,41.0
1,14:55,2,10,NWE 25,Tom Brady pass complete short right to Julian Edelman for 9 yards (tackle by Philip Wheeler),0,0,0.06,0.56,39.6
1,14:26,3,1,NWE 34,LeGarrette Blount right tackle for no gain (tackle by Deion Jones),0,0,0.56,-1.11,44.5
1,13:47,4,1,NWE 34,Ryan Allen punts 51 yards returned by Eric Weems for 1 yard (tackle by Barkevious Mingo). Penalty on Paul Worrilow: Offensive Holding 7 yards,0,0,-1.11,0.38,40.2
1,13:37,1,10,ATL 8,Devonta Freeman left end for 37 yards (tackle by Malcolm Butler and Devin McCourty),0,0,-0.38,1.93,47.0
1,12:55,1,10,ATL 45,Devonta Freeman left end for 3 yards (tackle by Trey Flowers and Malcom Brown),0,0,1.93,1.79,46.7
1,12:16,2,7,ATL 48,Matt Ryan pass complete short right to Patrick DiMarco for 2 yards (tackle by Patrick Chung),0,0,1.79,1.36,45.4
1,11:32,3,5,50,Matt Ryan sacked by Trey Flowers for -10 yards,0,0,1.36,-0.72,39.3
1,10:41,4,15,ATL 40,Matthew Bosher punts 55 yards returned by Julian Edelman for 5 yards (tackle by C.J. Goodwin),0,0,-0.72,0.38,42.6
1,10:28,1,10,NWE 10,Julian Edelman right end for 2 yards (tackle by Keanu Neal and Deion Jones),0,0,-0.38,-0.63,43.4
1,9:56,2,8,NWE 12,Tom Brady pass complete short left to Danny Amendola for 13 yards (tackle by Brian Poole),0,0,-0.63,0.61,39.7
1,9:22,1,10,NWE 25,Tom Brady pass complete short left to Chris Hogan for 15 yards (tackle by Jalen Collins),0,0,0.61,1.6,36.8
1,8:38,1,10,NWE 40,LeGarrette Blount left tackle for 2 yards (tackle by Keanu Neal and Brooks Reed),0,0,1.6,1.32,37.7
1,7:56,2,8,NWE 42,Tom Brady pass complete short right to Malcolm Mitchell for 7 yards (tackle by Deion Jones),0,0,1.32,1.55,37.0
1,7:15,3,1,NWE 49,Tom Brady pass complete short middle to James White for 11 yards (tackle by Jalen Collins),0,0,1.55,2.92,33.0
1,6:36,1,10,ATL 40,Tom Brady sacked by Courtney Upshaw for -8 yards,0,0,2.92,1.29,37.8
1,5:55,2,18,ATL 48,Tom Brady pass incomplete deep left intended for James White (defended by Deion Jones),0,0,1.29,0.63,39.9
1,5:48,3,18,ATL 48,Tom Brady sacked by Grady Jarrett for -1 yards,0,0,0.63,0,41.9
1,5:14,4,19,ATL 49,Ryan Allen punts 37 yards fair catch by Eric Weems,0,0,0,0.35,40.8
1,5:08,1,10,ATL 12,Tevin Coleman right end for 9 yards (tackle by Devin McCourty),0,0,-0.35,0.42,43.3
1,4:25,2,1,ATL 21,Matt Ryan pass complete short left to Patrick DiMarco for 10 yards (tackle by Patrick Chung and Logan Ryan),0,0,0.42,1,45.2
1,3:45,1,10,ATL 31,Devonta Freeman right tackle for 2 yards (tackle by Alan Branch and Rob Ninkovich),0,0,1,0.73,44.4
1,3:04,2,8,ATL 33,Tevin Coleman left end for 5 yards (tackle by Logan Ryan),0,0,0.73,0.7,44.4
1,2:27,3,3,ATL 38,Matt Ryan sacked by Jabaal Sheard and Alan Branch for -2 yards,0,0,0.7,-0.98,39.0
1,1:48,4,5,ATL 36,Matthew Bosher punts 55 yards returned by Julian Edelman for 9 yards (tackle by Eric Weems),0,0,-0.98,-0.04,42.1
1,1:36,1,10,NWE 18,Tom Brady pass complete short left to Julian Edelman for 13 yards (tackle by Robert Alford),0,0,0.04,1,38.9
1,0:58,1,10,NWE 31,LeGarrette Blount middle for 7 yards (tackle by Robert Alford and Ricardo Allen),0,0,1,1.41,37.6
1,0:24,2,3,NWE 38,LeGarrette Blount middle for 2 yards (tackle by De'Vondre Campbell),0,0,1.41,0.96,39.1
2,15:00,3,1,NWE 40,Tom Brady pass complete deep right to Julian Edelman for 27 yards (tackle by Robert Alford),0,0,0.96,3.38,31.5
2,14:19,1,10,ATL 33,LeGarrette Blount left tackle for 4 yards (tackle by Deion Jones). LeGarrette Blount fumbles (forced by Deion Jones) recovered by Robert Alford at ATL-29 (tackle by Julian Edelman). Penalty on Martellus Bennett: Offensive Holding (Declined),0,0,3.38,-0.87,45.4
2,14:08,1,10,ATL 29,Matt Ryan pass complete short middle to Julio Jones for 19 yards (tackle by Logan Ryan),0,0,0.87,2.13,49.7
2,13:29,1,10,ATL 48,Matt Ryan pass complete deep left to Julio Jones for 23 yards,0,0,2.13,3.64,55.1
2,13:11,1,10,NWE 29,Devonta Freeman right tackle for 15 yards (tackle by Devin McCourty),0,0,3.64,4.65,58.6
2,12:46,1,10,NWE 14,Devonta Freeman left tackle for 9 yards (tackle by Duron Harmon),0,0,4.65,5.67,62.2
2,12:20,,,,Timeout #1 by New England Patriots,0,0,0,0,
2,12:20,2,1,NWE 5,Devonta Freeman left end for 5 yards touchdown,0,6,5.67,7,63.4
2,12:15,,,NWE 15,Matt Bryant kicks extra point good,0,7,0,0,66.7
2,12:15,,,ATL 35,Matthew Bosher kicks off 69 yards returned by Dion Lewis for 20 yards (tackle by Sharrod Neasman),0,7,0,0.14,67.2
2,12:10,1,10,NWE 16,Tom Brady pass incomplete deep right intended for Malcolm Mitchell (defended by C.J. Goodwin),0,7,-0.14,-0.66,68.9
