play_type,wp,wpa,off_score,def_score,down,yards_to_go,yardline,yardline_text,quarter,seconds_left,week,home_team,away_team,offense_team,defense_team,offense_team_abbrev,defense_team_abbrev,offense_won,season_year,play_result,description,player_ids_string
Penalty,7.76914360122,2.13541574207,0,14,3,9,5,Opp 45,Q2,316,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,First Down,"(5:16) (Shotgun) T.Brady pass incomplete short middle to J.Edelman [D.Campbell]. PENALTY on ATL-B.Poole, Defensive Holding, 5 yards, enforced at ATL 45 - No Play.",00-0032596
Penalty,7.76914360122,1.95678504609,0,14,3,3,-1,Own 49,Q2,370,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,First Down,"(6:10) (Shotgun) T.Brady pass incomplete deep right to J.Edelman [D.Campbell]. PENALTY on ATL-B.Poole, Defensive Holding, 5 yards, enforced at NE 49 - No Play.",00-0032596
Rush,10.8656901843,0,0,14,1,10,23,Opp 27,Q2,239,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,(3:59) D.Lewis right guard to ATL 23 for 4 yards (D.Campbell).,"00-0032401,00-0028087"
Penalty,59.904362221700005,5.23457579927,28,28,1,10,35,Opp 15,OT,678,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,First Down,"(11:18) (Shotgun) T.Brady pass incomplete short right to M.Bennett (D.Campbell). PENALTY on ATL-D.Campbell, Defensive Pass Interference, 13 yards, enforced at ATL 15 - No Play.",00-0032401
Pass,4.296575298860001,0,9,28,1,10,-37,Own 13,Q4,891,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,First Down,(14:51) (Shotgun) T.Brady pass deep right to M.Mitchell to NE 28 for 15 yards (J.Collins).,"00-0032400,00-0019596,00-0031552"
Pass,19.5867276142,4.21045808047,20,28,2,10,-25,Own 25,Q4,154,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,First Down,(2:34) (Shotgun) T.Brady pass short left to M.Mitchell pushed ob at NE 36 for 11 yards (J.Collins).,"00-0032400,00-0019596,00-0031552"
Pass,4.296575298860001,0,9,28,1,10,-22,Own 28,Q4,869,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,(14:29) (Shotgun) T.Brady pass short middle to M.Mitchell to NE 35 for 7 yards (J.Collins).,"00-0032400,00-0019596,00-0031552"
Rush,43.142950891800005,-0.203173629496,0,0,1,10,-40,Own 10,Q1,628,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,(10:28) J.Edelman right end pushed ob at NE 12 for 2 yards (K.Neal; D.Jones).,"00-0032388,00-0032382,00-0027150"
Pass,3.1687296660600004,0.500278889992,0,21,2,7,-22,Own 28,Q2,120,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,First Down,(2:00) (Shotgun) T.Brady pass short left to M.Bennett to NE 43 for 15 yards (K.Neal; R.Allen) [V.Beasley]. ATL-D.Campbell was injured during the play.,"00-0032382,00-0032240,00-0031181,00-0019596,00-0026201"
Rush,4.296575298860001,0.0359149564768,9,28,2,3,-15,Own 35,Q4,840,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,First Down,(14:00) (Shotgun) J.White up the middle to NE 41 for 6 yards (K.Neal).,"00-0032382,00-0031062"
Pass,6.5427474761,-0.00921421200072,12,28,2,15,20,Opp 30,Q4,461,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,(7:41) (Shotgun) T.Brady pass short middle to J.White to ATL 26 for 4 yards (K.Neal).,"00-0032382,00-0019596,00-0031062"
Pass,23.797185694699998,2.51986898268,20,28,1,10,-14,Own 36,Q4,148,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,First Down,"(2:28) (Shotgun) T.Brady pass deep middle to J.Edelman to ATL 41 for 23 yards (K.Neal). Atlanta challenged the pass completion ruling, and the play was Upheld. The ruling on the field was confirmed. (Timeout #3.)","00-0032382,00-0019596,00-0027150"
Pass,7.48367216302,0.285471438202,0,14,1,10,-25,Own 25,Q2,528,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,First Down,"(8:48) (Shotgun) T.Brady pass short middle to M.Bennett to NE 37 for 12 yards (J.Collins, K.Neal).","00-0032382,00-0019596,00-0026201,00-0031552"
Pass,4.296575298860001,-6.93889390391e-16,0,21,2,10,35,Opp 15,Q2,18,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,"(:18) (Shotgun) T.Brady pass short left to J.White pushed ob at ATL 3 for 12 yards (K.Neal). PENALTY on NE-M.Bennett, Offensive Holding, 10 yards, enforced at ATL 10.","00-0032382,00-0019596,00-0026201,00-0031062"
Pass,4.79235146097,1.74118180313,9,28,3,1,18,Opp 32,Q4,740,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,First Down,(12:20) (Shotgun) T.Brady pass deep right to M.Bennett to ATL 7 for 25 yards (K.Neal).,"00-0032382,00-0019596,00-0026201"
Pass,65.138938021,-1.4354683693199999,28,28,1,2,48,Opp 2,OT,673,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,(11:13) T.Brady pass incomplete short right to M.Bennett (V.Beasley).,"00-0032240,00-0019596,00-0026201"
Rush,97.2739975948,0,21,3,1,10,-18,Own 32,Q3,727,21,Atlanta Falcons,New England Patriots,Atlanta Falcons,New England Patriots,ATL,NE,False,2016,,(12:07) T.Coleman right tackle to ATL 37 for 5 yards (E.Roberts).,"00-0032058,00-0032442"
Rush,57.1844351949,0,0,0,2,8,-17,Own 33,Q1,184,21,Atlanta Falcons,New England Patriots,Atlanta Falcons,New England Patriots,ATL,NE,False,2016,,(3:04) (Shotgun) T.Coleman left end pushed ob at ATL 38 for 5 yards (L.Ryan).,"00-0032058,00-0030411"
