"day","ave.pitches","n.atbats"
0,3.81865434594282,3463
1,3.84316846229187,8168
2,3.82204192021636,7395
3,3.84795907018129,8991
4,3.82648943745549,8426
5,3.83210499747602,9905
6,3.82235389799001,8607
7,3.84699906706748,9647
8,3.84528057087253,9249
9,3.84313485756205,8179
10,3.85219649426531,9242
11,3.86514886164623,8565
12,3.82930559804221,9807
13,3.81667586968526,9055
14,3.82056341115861,9123
15,3.81961448293826,7678
16,3.89875884706124,9749
17,3.86656504065041,9840
18,3.84031507339778,8379
19,3.83899556868538,10155
20,3.8338037002195,9567
21,3.84554554554555,9990
22,3.83710203622455,8889
23,3.83316929133858,10160
24,3.85213219616205,9380
25,3.82262845849802,8096
26,3.84538214913642,9669
27,3.82989390229684,8577
28,3.83247811651072,9939
29,3.80118483412322,8440
30,3.81048053024027,9656
31,3.76890710972057,9269
32,3.83600693691741,9226
33,3.83577953402443,9743
34,3.85304401480872,9724
35,3.85243567578562,9833
36,3.77469784550709,7612
37,3.81060286677909,9488
38,3.82129436325679,9580
39,3.79940016149498,8669
40,3.84605276458102,9893
41,3.79238717840574,9484
42,3.82181669058848,9754
43,3.8307801923762,8421
44,3.81965121225011,9404
45,3.82376403904692,9527
46,3.8215542053086,9381
47,3.79626204614037,10273
48,3.83616136644567,8899
49,3.78654566975735,10138
50,3.82911683532659,8696
51,3.81717651922282,9676
52,3.7896120973044,9126
53,3.82305134835611,8121
54,3.8081527936146,10524
55,3.82828821146877,9382
56,3.81001514577811,10564
57,3.79554781743564,8041
58,3.79443861490031,9530
59,3.80908825532743,10277
60,3.7654028436019,8862
61,3.79158379566628,9553
62,3.79431194715038,8931
63,3.84648900597832,9869
64,3.81273636696352,8197
65,3.81676767676768,9900
66,3.79262868036433,9442
67,3.79365605658709,9048
68,3.84876735032111,9654
69,3.77809890815671,9342
70,3.78809572509716,9778
71,3.79853383950779,7639
72,3.8119587628866,9700
73,3.83865229674584,9557
74,3.81029252437703,9230
75,3.79492050794921,10001
76,3.79188770999116,9048
77,3.82271017586663,9837
78,3.85318229244299,6709
79,3.82895833333333,9600
80,3.8519618891507,9761
81,3.82380952380952,9240
82,3.814825753101,10158
83,3.8246439628483,8075
84,3.81151559403359,9587
85,3.79231119199272,8792
86,3.80518659076534,9486
87,3.82851698952048,9447
88,3.84343003412969,9376
89,3.8012904526666,9919
90,3.81250662427133,9435
91,3.78892276422764,9840
92,3.80178296279991,9086
93,3.77852210656498,9703
94,3.85749653396712,10098
95,3.81574666522069,9221
96,3.81192365429981,9326
97,3.83321504613201,8454
98,3.77629974503935,9021
99,3.77398767605634,4544
100,3.89874568260316,5501
101,3.81394810009268,4316
102,3.80998933522929,5626
103,3.84624832514515,8956
104,3.82466307277628,7420
105,3.8201915991157,6785
106,3.77670424047236,5589
107,3.82462839219965,7333
108,3.79530128344573,9194
109,3.84299107647125,8853
110,3.80265635841015,10089
111,3.81667910845686,9377
112,3.82741361054962,10389
113,3.77714624037892,8445
114,3.79533595996167,9391
115,3.81854549184532,9749
116,3.82629558541267,9378
117,3.84663906958407,10146
118,3.81421169504071,9457
119,3.83632104298228,9818
120,3.82672332389046,8472
121,3.80718220771271,9802
122,3.80590717299578,9717
123,3.83698750274063,9122
124,3.84267649108832,10043
125,3.85055187637969,9060
126,3.77695017614494,9935
127,3.79516212043232,7772
128,3.85983009708738,9888
129,3.82549317147193,9226
130,3.82912513842746,9030
131,3.79879731861199,10144
132,3.76627676009711,9062
133,3.80793060718711,9684
134,3.82898203592814,8350
135,3.846208796816,9799
136,3.86086683417085,9552
137,3.81198765037794,9393
138,3.83330085736555,10264
139,3.80254919499106,8944
140,3.84596035818493,9939
141,3.83565122747612,8269
142,3.85986715234626,9334
143,3.81869600987248,9724
144,3.84452530598743,9069
145,3.85406627987019,10169
146,3.82842000662471,9057
147,3.81086846114779,9845
148,3.84300908486594,9026
149,3.85885456743982,9097
150,3.83792240300375,9588
151,3.80758017492711,7889
152,3.83015135028193,10109
153,3.8488165988948,9591
154,3.84875803203222,10427
155,3.83329732065687,9256
156,3.83490764063812,9528
157,3.82573506812827,9761
158,3.79145342886387,7816
159,3.89689669252756,9796
160,3.85368524805607,9131
161,3.84434926506376,10273
162,3.86432384341637,8992
163,3.82094003908259,9723
164,3.82717260931196,9171
165,3.81011210249371,8742
166,3.83789884066892,9747
167,3.81512605042017,9282
168,3.85354034810127,10112
169,3.82636031092821,8748
170,3.83706492977814,9826
171,3.83034538640737,9873
172,3.88195047784535,9208
173,3.82058400164507,9726
174,3.81204457779683,9332
175,3.82298803558646,9779
176,3.82307336264754,8642
177,3.8312460199533,9422
178,3.82882531002832,10241
179,3.80776568286388,8911
180,3.8335495459535,10021
181,3.84520606146438,7061
182,3.8349293945788,6161
183,3.76053962900506,593
184,3.84748858447489,1095
185,3.91923397169026,1201
186,3.83471837488458,1083
187,3.79330422125182,687
188,3.8062015503876,516
